[2026-04-02T20:50:59.151+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-04-02T20:50:59.182+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-04-02T20:49:00+00:00 [queued]>
[2026-04-02T20:50:59.186+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-04-02T20:49:00+00:00 [queued]>
[2026-04-02T20:50:59.187+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-04-02T20:50:59.192+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-04-02 20:49:00+00:00
[2026-04-02T20:50:59.201+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-04-02T20:49:00+00:00', '--job-id', '39', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpvqgpjwun']
[2026-04-02T20:50:59.210+0000] {standard_task_runner.py:91} INFO - Job 39: Subtask download_minio
[2026-04-02T20:50:59.214+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=30607) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-04-02T20:50:59.216+0000] {standard_task_runner.py:64} INFO - Started process 30618 to run task
[2026-04-02T20:50:59.282+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-04-02T20:49:00+00:00 [running]> on host cb0c06a70aed
[2026-04-02T20:50:59.411+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-04-02T20:49:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-04-02T20:49:00+00:00'
[2026-04-02T20:50:59.412+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-04-02T20:51:00.059+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081247.json -> /tmp/minio_downloads/1775081247.json
[2026-04-02T20:51:00.068+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081255.json -> /tmp/minio_downloads/1775081255.json
[2026-04-02T20:51:00.075+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081263.json -> /tmp/minio_downloads/1775081263.json
[2026-04-02T20:51:00.085+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081270.json -> /tmp/minio_downloads/1775081270.json
[2026-04-02T20:51:00.090+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081277.json -> /tmp/minio_downloads/1775081277.json
[2026-04-02T20:51:00.098+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081285.json -> /tmp/minio_downloads/1775081285.json
[2026-04-02T20:51:00.102+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081292.json -> /tmp/minio_downloads/1775081292.json
[2026-04-02T20:51:00.107+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081299.json -> /tmp/minio_downloads/1775081299.json
[2026-04-02T20:51:00.111+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081307.json -> /tmp/minio_downloads/1775081307.json
[2026-04-02T20:51:00.114+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081315.json -> /tmp/minio_downloads/1775081315.json
[2026-04-02T20:51:00.118+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081322.json -> /tmp/minio_downloads/1775081322.json
[2026-04-02T20:51:00.123+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081330.json -> /tmp/minio_downloads/1775081330.json
[2026-04-02T20:51:00.130+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081337.json -> /tmp/minio_downloads/1775081337.json
[2026-04-02T20:51:00.136+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081344.json -> /tmp/minio_downloads/1775081344.json
[2026-04-02T20:51:00.139+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081351.json -> /tmp/minio_downloads/1775081351.json
[2026-04-02T20:51:00.142+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081359.json -> /tmp/minio_downloads/1775081359.json
[2026-04-02T20:51:00.146+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081366.json -> /tmp/minio_downloads/1775081366.json
[2026-04-02T20:51:00.149+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081373.json -> /tmp/minio_downloads/1775081373.json
[2026-04-02T20:51:00.152+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081381.json -> /tmp/minio_downloads/1775081381.json
[2026-04-02T20:51:00.155+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081389.json -> /tmp/minio_downloads/1775081389.json
[2026-04-02T20:51:00.160+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081396.json -> /tmp/minio_downloads/1775081396.json
[2026-04-02T20:51:00.164+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081404.json -> /tmp/minio_downloads/1775081404.json
[2026-04-02T20:51:00.168+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081411.json -> /tmp/minio_downloads/1775081411.json
[2026-04-02T20:51:00.170+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081418.json -> /tmp/minio_downloads/1775081418.json
[2026-04-02T20:51:00.174+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081426.json -> /tmp/minio_downloads/1775081426.json
[2026-04-02T20:51:00.177+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081433.json -> /tmp/minio_downloads/1775081433.json
[2026-04-02T20:51:00.180+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081440.json -> /tmp/minio_downloads/1775081440.json
[2026-04-02T20:51:00.183+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081448.json -> /tmp/minio_downloads/1775081448.json
[2026-04-02T20:51:00.185+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081455.json -> /tmp/minio_downloads/1775081455.json
[2026-04-02T20:51:00.188+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081462.json -> /tmp/minio_downloads/1775081462.json
[2026-04-02T20:51:00.190+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081470.json -> /tmp/minio_downloads/1775081470.json
[2026-04-02T20:51:00.192+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081477.json -> /tmp/minio_downloads/1775081477.json
[2026-04-02T20:51:00.195+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081484.json -> /tmp/minio_downloads/1775081484.json
[2026-04-02T20:51:00.198+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081492.json -> /tmp/minio_downloads/1775081492.json
[2026-04-02T20:51:00.200+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081499.json -> /tmp/minio_downloads/1775081499.json
[2026-04-02T20:51:00.203+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081506.json -> /tmp/minio_downloads/1775081506.json
[2026-04-02T20:51:00.205+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081514.json -> /tmp/minio_downloads/1775081514.json
[2026-04-02T20:51:00.207+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081521.json -> /tmp/minio_downloads/1775081521.json
[2026-04-02T20:51:00.210+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081529.json -> /tmp/minio_downloads/1775081529.json
[2026-04-02T20:51:00.213+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081536.json -> /tmp/minio_downloads/1775081536.json
[2026-04-02T20:51:00.216+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081543.json -> /tmp/minio_downloads/1775081543.json
[2026-04-02T20:51:00.218+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081551.json -> /tmp/minio_downloads/1775081551.json
[2026-04-02T20:51:00.221+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081559.json -> /tmp/minio_downloads/1775081559.json
[2026-04-02T20:51:00.225+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081566.json -> /tmp/minio_downloads/1775081566.json
[2026-04-02T20:51:00.227+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081573.json -> /tmp/minio_downloads/1775081573.json
[2026-04-02T20:51:00.231+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081581.json -> /tmp/minio_downloads/1775081581.json
[2026-04-02T20:51:00.234+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081588.json -> /tmp/minio_downloads/1775081588.json
[2026-04-02T20:51:00.237+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081595.json -> /tmp/minio_downloads/1775081595.json
[2026-04-02T20:51:00.239+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081603.json -> /tmp/minio_downloads/1775081603.json
[2026-04-02T20:51:00.242+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081610.json -> /tmp/minio_downloads/1775081610.json
[2026-04-02T20:51:00.244+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081618.json -> /tmp/minio_downloads/1775081618.json
[2026-04-02T20:51:00.246+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081625.json -> /tmp/minio_downloads/1775081625.json
[2026-04-02T20:51:00.248+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081633.json -> /tmp/minio_downloads/1775081633.json
[2026-04-02T20:51:00.253+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081641.json -> /tmp/minio_downloads/1775081641.json
[2026-04-02T20:51:00.258+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081648.json -> /tmp/minio_downloads/1775081648.json
[2026-04-02T20:51:00.262+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081656.json -> /tmp/minio_downloads/1775081656.json
[2026-04-02T20:51:00.264+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081663.json -> /tmp/minio_downloads/1775081663.json
[2026-04-02T20:51:00.267+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081670.json -> /tmp/minio_downloads/1775081670.json
[2026-04-02T20:51:00.269+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1775081678.json -> /tmp/minio_downloads/1775081678.json
