[2026-04-02T01:16:28.952+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-04-02T01:16:28.965+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2026-04-02T01:12:00+00:00 [queued]>
[2026-04-02T01:16:28.968+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2026-04-02T01:12:00+00:00 [queued]>
[2026-04-02T01:16:28.968+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-04-02T01:16:28.973+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_snowflake> on 2026-04-02 01:12:00+00:00
[2026-04-02T01:16:28.980+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'load_snowflake', 'scheduled__2026-04-02T01:12:00+00:00', '--job-id', '30', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmp3jmtu2q5']
[2026-04-02T01:16:28.981+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=24657) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-04-02T01:16:28.982+0000] {standard_task_runner.py:64} INFO - Started process 24667 to run task
[2026-04-02T01:16:28.981+0000] {standard_task_runner.py:91} INFO - Job 30: Subtask load_snowflake
[2026-04-02T01:16:29.007+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.load_snowflake scheduled__2026-04-02T01:12:00+00:00 [running]> on host cb0c06a70aed
[2026-04-02T01:16:29.046+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='load_snowflake' AIRFLOW_CTX_EXECUTION_DATE='2026-04-02T01:12:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-04-02T01:12:00+00:00'
[2026-04-02T01:16:29.047+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-04-02T01:16:29.058+0000] {connection.py:408} INFO - Snowflake Connector for Python Version: 3.11.0, Python Version: 3.12.4, Platform: Linux-6.12.76-linuxkit-aarch64-with-glibc2.36
[2026-04-02T01:16:29.059+0000] {connection.py:1258} INFO - This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
[2026-04-02T01:16:30.635+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081247.json to Snowflake stage
[2026-04-02T01:16:30.958+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081255.json to Snowflake stage
[2026-04-02T01:16:31.232+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081263.json to Snowflake stage
[2026-04-02T01:16:31.514+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081270.json to Snowflake stage
[2026-04-02T01:16:31.792+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081277.json to Snowflake stage
[2026-04-02T01:16:32.075+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081285.json to Snowflake stage
[2026-04-02T01:16:32.351+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081292.json to Snowflake stage
[2026-04-02T01:16:32.619+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081299.json to Snowflake stage
[2026-04-02T01:16:32.895+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081307.json to Snowflake stage
[2026-04-02T01:16:33.151+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081315.json to Snowflake stage
[2026-04-02T01:16:33.480+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081322.json to Snowflake stage
[2026-04-02T01:16:33.704+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081330.json to Snowflake stage
[2026-04-02T01:16:33.969+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081337.json to Snowflake stage
[2026-04-02T01:16:34.217+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081344.json to Snowflake stage
[2026-04-02T01:16:34.447+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081351.json to Snowflake stage
[2026-04-02T01:16:34.752+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081359.json to Snowflake stage
[2026-04-02T01:16:34.994+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081366.json to Snowflake stage
[2026-04-02T01:16:35.248+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081373.json to Snowflake stage
[2026-04-02T01:16:35.582+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081381.json to Snowflake stage
[2026-04-02T01:16:35.926+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081389.json to Snowflake stage
[2026-04-02T01:16:36.208+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081396.json to Snowflake stage
[2026-04-02T01:16:36.491+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081404.json to Snowflake stage
[2026-04-02T01:16:36.755+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081411.json to Snowflake stage
[2026-04-02T01:16:36.998+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081418.json to Snowflake stage
[2026-04-02T01:16:37.255+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081426.json to Snowflake stage
[2026-04-02T01:16:37.522+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081433.json to Snowflake stage
[2026-04-02T01:16:37.764+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081440.json to Snowflake stage
[2026-04-02T01:16:38.006+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081448.json to Snowflake stage
[2026-04-02T01:16:38.283+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081455.json to Snowflake stage
[2026-04-02T01:16:38.558+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081462.json to Snowflake stage
[2026-04-02T01:16:38.825+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081470.json to Snowflake stage
[2026-04-02T01:16:39.092+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081477.json to Snowflake stage
[2026-04-02T01:16:39.393+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081484.json to Snowflake stage
