[2026-04-02T02:48:18.847+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-04-02T02:48:18.866+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2026-04-02T01:53:00+00:00 [queued]>
[2026-04-02T02:48:18.870+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2026-04-02T01:53:00+00:00 [queued]>
[2026-04-02T02:48:18.870+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-04-02T02:48:18.882+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_snowflake> on 2026-04-02 01:53:00+00:00
[2026-04-02T02:48:18.896+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=29193) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-04-02T02:48:18.894+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'load_snowflake', 'scheduled__2026-04-02T01:53:00+00:00', '--job-id', '38', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmp5ptqnu0h']
[2026-04-02T02:48:18.898+0000] {standard_task_runner.py:64} INFO - Started process 29203 to run task
[2026-04-02T02:48:18.898+0000] {standard_task_runner.py:91} INFO - Job 38: Subtask load_snowflake
[2026-04-02T02:48:18.949+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.load_snowflake scheduled__2026-04-02T01:53:00+00:00 [running]> on host cb0c06a70aed
[2026-04-02T02:48:19.001+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='load_snowflake' AIRFLOW_CTX_EXECUTION_DATE='2026-04-02T01:53:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-04-02T01:53:00+00:00'
[2026-04-02T02:48:19.002+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-04-02T02:48:19.018+0000] {connection.py:408} INFO - Snowflake Connector for Python Version: 3.11.0, Python Version: 3.12.4, Platform: Linux-6.12.76-linuxkit-aarch64-with-glibc2.36
[2026-04-02T02:48:19.019+0000] {connection.py:1258} INFO - This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
[2026-04-02T02:48:20.801+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081247.json to Snowflake stage
[2026-04-02T02:48:21.223+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081255.json to Snowflake stage
[2026-04-02T02:48:21.675+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081263.json to Snowflake stage
[2026-04-02T02:48:21.917+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081270.json to Snowflake stage
[2026-04-02T02:48:22.399+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081277.json to Snowflake stage
[2026-04-02T02:48:22.739+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081285.json to Snowflake stage
[2026-04-02T02:48:23.210+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081292.json to Snowflake stage
[2026-04-02T02:48:23.579+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081299.json to Snowflake stage
[2026-04-02T02:48:24.040+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081307.json to Snowflake stage
[2026-04-02T02:48:24.429+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081315.json to Snowflake stage
[2026-04-02T02:48:24.876+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081322.json to Snowflake stage
[2026-04-02T02:48:25.133+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081330.json to Snowflake stage
[2026-04-02T02:48:25.579+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081337.json to Snowflake stage
[2026-04-02T02:48:25.826+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081344.json to Snowflake stage
[2026-04-02T02:48:26.068+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1775081351.json to Snowflake stage
